,start_time,end_time,P_total
243,2023-07-13 13:17:00,2023-07-13 16:38:00,17.53
83,2022-08-06 00:11:00,2022-08-06 01:36:00,17.15
460,2024-09-17 07:50:00,2024-09-17 08:25:00,17.016
358,2023-12-31 10:11:00,2023-12-31 10:59:00,17.009
372,2024-05-27 11:05:00,2024-05-27 12:00:00,16.98
271,2023-08-16 07:46:00,2023-08-16 08:22:00,16.841
121,2022-09-19 12:10:00,2022-09-19 14:29:00,16.626
519,2024-11-15 05:53:00,2024-11-15 06:17:00,16.449
584,2025-06-16 07:18:00,2025-06-16 08:12:00,16.424
342,2023-10-28 06:53:00,2023-10-28 07:17:00,16.309
516,2024-11-10 10:18:00,2024-11-10 12:20:00,16.256
418,2024-07-29 14:38:00,2024-07-29 15:03:00,16.199
464,2024-09-20 05:51:00,2024-09-20 09:13:00,16.055
327,2023-10-12 09:02:00,2023-10-12 09:45:00,15.831
364,2024-05-15 09:27:00,2024-05-15 11:29:00,15.699
721,2025-12-03 07:07:00,2025-12-03 07:59:00,15.526
181,2023-01-02 10:02:00,2023-01-02 10:32:00,15.424
432,2024-08-13 13:18:00,2024-08-13 13:51:00,15.292
600,2025-07-06 08:31:00,2025-07-06 09:53:00,15.257
47,2022-06-22 07:24:00,2022-06-22 10:22:00,15.239
313,2023-09-28 11:32:00,2023-09-28 12:37:00,15.231
139,2022-10-08 04:23:00,2022-10-08 08:58:00,15.223
745,2026-03-16 09:07:00,2026-03-16 10:03:00,14.957
52,2022-06-30 08:01:00,2022-06-30 08:47:00,14.879
199,2023-05-21 04:54:00,2023-05-21 05:54:00,14.811
42,2022-06-19 08:12:00,2022-06-19 08:56:00,14.761
694,2025-10-22 05:01:00,2025-10-22 06:25:00,14.567
101,2022-08-31 09:03:00,2022-08-31 09:48:00,14.331
591,2025-06-20 05:29:00,2025-06-20 06:13:00,14.319
602,2025-07-12 08:34:00,2025-07-12 09:13:00,14.099
151,2022-10-23 10:59:00,2022-10-23 11:57:00,14.095
682,2025-10-09 06:57:00,2025-10-09 07:27:00,13.789
419,2024-07-31 11:02:00,2024-07-31 12:33:00,13.649
79,2022-08-02 10:18:00,2022-08-02 12:14:00,13.576
116,2022-09-16 10:07:00,2022-09-16 10:56:00,13.523
692,2025-10-20 12:02:00,2025-10-20 12:59:00,13.51
703,2025-10-28 05:18:00,2025-10-28 08:13:00,13.445
227,2023-06-28 07:39:00,2023-06-28 10:03:00,13.267
207,2023-05-27 06:12:00,2023-05-27 08:47:00,13.24
652,2025-09-11 08:42:00,2025-09-11 12:09:00,13.093
95,2022-08-26 05:57:00,2022-08-26 08:32:00,12.786
97,2022-08-28 08:20:00,2022-08-28 09:40:00,12.728
450,2024-09-04 08:05:00,2024-09-04 08:45:00,12.637
197,2023-05-16 07:10:00,2023-05-16 11:08:00,12.276
224,2023-06-25 04:25:00,2023-06-25 04:53:00,12.217
387,2024-06-21 10:13:00,2024-06-21 11:31:00,12.05
612,2025-08-05 11:23:00,2025-08-05 12:08:00,12.025
160,2022-11-03 11:36:00,2022-11-03 13:25:00,11.829
608,2025-07-21 11:50:00,2025-07-21 13:24:00,11.797
743,2026-03-13 09:49:00,2026-03-13 10:37:00,11.778
48,2022-06-23 07:52:00,2022-06-23 10:03:00,11.686
448,2024-09-02 04:32:00,2024-09-02 05:53:00,11.678
431,2024-08-12 08:45:00,2024-08-12 10:00:00,11.655
278,2023-08-22 09:40:00,2023-08-22 10:07:00,11.604
586,2025-06-16 15:12:00,2025-06-16 16:46:00,11.558
210,2023-06-05 07:31:00,2023-06-05 09:15:00,11.413
132,2022-09-28 17:00:00,2022-09-28 18:57:00,11.375
125,2022-09-25 08:23:00,2022-09-25 09:37:00,11.34
532,2024-12-13 10:57:00,2024-12-13 13:23:00,11.26
695,2025-10-22 14:56:00,2025-10-22 15:06:00,11.167
124,2022-09-23 10:15:00,2022-09-23 12:04:00,11.156
113,2022-09-13 12:27:00,2022-09-13 13:03:00,11.156
195,2023-05-05 07:44:00,2023-05-05 08:40:00,11.127
579,2025-06-07 06:30:00,2025-06-07 08:13:00,11.125
484,2024-10-07 11:11:00,2024-10-07 16:31:00,10.866
701,2025-10-26 13:16:00,2025-10-26 15:32:00,10.565
422,2024-08-02 11:35:00,2024-08-02 12:11:00,10.554
632,2025-08-26 00:13:00,2025-08-26 02:46:00,10.553
494,2024-10-15 04:28:00,2024-10-15 05:49:00,10.537
183,2023-01-09 08:44:00,2023-01-09 09:40:00,10.473
669,2025-09-28 05:38:00,2025-09-28 07:05:00,10.444
201,2023-05-22 07:44:00,2023-05-22 08:50:00,10.27
341,2023-10-27 14:57:00,2023-10-27 15:55:00,10.26
140,2022-10-10 12:50:00,2022-10-10 14:16:00,10.247
513,2024-11-06 05:24:00,2024-11-06 06:34:00,10.111
247,2023-07-16 11:05:00,2023-07-16 13:23:00,10.059
383,2024-06-17 10:40:00,2024-06-17 11:01:00,10.037
530,2024-12-12 08:53:00,2024-12-12 09:16:00,9.926
458,2024-09-13 10:31:00,2024-09-13 15:20:00,9.881
272,2023-08-17 04:08:00,2023-08-17 05:40:00,9.857
622,2025-08-17 13:40:00,2025-08-17 15:21:00,9.852
347,2023-11-05 09:14:00,2023-11-05 09:41:00,9.815
724,2025-12-10 09:52:00,2025-12-10 11:17:00,9.794
581,2025-06-10 00:50:00,2025-06-10 01:07:00,9.736
650,2025-09-09 09:37:00,2025-09-09 10:33:00,9.683
555,2025-05-09 11:39:00,2025-05-09 12:03:00,9.669
716,2025-11-12 00:00:00,2025-11-12 02:10:00,9.253
103,2022-09-02 11:14:00,2022-09-02 12:29:00,9.196
196,2023-05-08 09:14:00,2023-05-08 10:51:00,9.002
520,2024-11-20 12:17:00,2024-11-20 12:36:00,8.979
244,2023-07-14 12:21:00,2023-07-14 15:11:00,8.951
146,2022-10-19 01:25:00,2022-10-19 03:28:00,8.898
607,2025-07-20 04:25:00,2025-07-20 06:25:00,8.883
668,2025-09-27 07:27:00,2025-09-27 08:50:00,8.812
393,2024-06-27 11:55:00,2024-06-27 13:33:00,8.679
178,2022-12-07 08:27:00,2022-12-07 11:08:00,8.671
493,2024-10-14 06:35:00,2024-10-14 07:58:00,8.637
575,2025-06-03 01:42:00,2025-06-03 02:10:00,8.599
649,2025-09-09 06:08:00,2025-09-09 07:30:00,8.564
763,2026-05-30 11:17:00,2026-05-30 12:01:00,8.551
370,2024-05-22 05:39:00,2024-05-22 06:50:00,8.529
44,2022-06-20 08:20:00,2022-06-20 09:30:00,8.492
662,2025-09-23 12:27:00,2025-09-23 15:17:00,8.385
138,2022-10-07 07:11:00,2022-10-07 07:42:00,8.293
167,2022-11-14 08:29:00,2022-11-14 08:49:00,8.292
707,2025-11-01 10:24:00,2025-11-01 13:07:00,8.254
554,2025-05-07 10:24:00,2025-05-07 11:41:00,8.094
396,2024-07-03 11:12:00,2024-07-03 15:44:00,8.001
62,2022-07-09 16:33:00,2022-07-09 17:36:00,7.985
165,2022-11-12 07:14:00,2022-11-12 09:53:00,7.927
305,2023-09-22 06:00:00,2023-09-22 07:22:00,7.912
411,2024-07-19 12:26:00,2024-07-19 14:45:00,7.852
413,2024-07-25 04:34:00,2024-07-25 04:50:00,7.847
699,2025-10-25 09:04:00,2025-10-25 09:36:00,7.836
449,2024-09-04 02:39:00,2024-09-04 03:30:00,7.822
